12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
1638  ,9.67023  ,21.4383  ,34.2055  ,2.61477e+01
7455  ,10.1409  ,20.6347  ,40.3197  ,2.61473e+01
7224  ,16.2784  ,20.655  ,30.0386  ,2.61468e+01
6013  ,5.68508  ,20.841  ,34.6312  ,2.61466e+01
6022  ,5.68508  ,20.841  ,33.526  ,2.61466e+01
7096  ,16.9588  ,20.6775  ,31.3637  ,2.61465e+01
7350  ,12.6589  ,20.8043  ,28.0373  ,2.61460e+01
7317  ,14.0404  ,20.8456  ,39.0925  ,2.61458e+01
6020  ,5.68212  ,20.8097  ,32.2285  ,2.61453e+01
3258  ,10.6396  ,21.4557  ,35.2661  ,2.61452e+01
7207  ,16.5355  ,20.8618  ,35.7783  ,2.61451e+01
7351  ,14.1032  ,20.9212  ,29.1473  ,2.61451e+01
7501  ,10.0526  ,20.7925  ,27.978  ,2.61451e+01
7444  ,11.7624  ,20.6566  ,40.5698  ,2.61447e+01
6254  ,9.09094  ,20.6347  ,40.3197  ,2.61447e+01
742  ,19.6589  ,19.8572  ,30.6162  ,2.61434e+01
745  ,19.6589  ,19.8572  ,37.2478  ,2.61434e+01
904  ,2.8589  ,19.8572  ,30.6163  ,2.61432e+01
907  ,2.8589  ,19.8572  ,37.2478  ,2.61432e+01
1312  ,11.6089  ,21.4731  ,36.3268  ,2.61427e+01
7083  ,17.1015  ,20.8595  ,34.6183  ,2.61426e+01
7090  ,17.1015  ,20.8595  ,33.513  ,2.61426e+01
7117  ,17.5589  ,19.8572  ,27.3005  ,2.61425e+01
6285  ,9.00256  ,20.7925  ,27.978  ,2.61425e+01
7074  ,17.5589  ,19.8572  ,40.5636  ,2.61425e+01
6049  ,4.9589  ,19.8572  ,27.3005  ,2.61424e+01
6005  ,4.9589  ,19.8572  ,40.5636  ,2.61424e+01
7309  ,12.8125  ,20.6566  ,40.5698  ,2.61421e+01
6012  ,5.6589  ,20.8572  ,35.7742  ,2.61420e+01
6138  ,6.06006  ,20.7162  ,37.8077  ,2.61412e+01
7370  ,14.4089  ,19.8572  ,25.0899  ,2.61404e+01
3249  ,9.32895  ,21.4958  ,35.2385  ,2.61403e+01
7313  ,14.4089  ,19.8572  ,42.7741  ,2.61403e+01
6245  ,8.1089  ,19.8572  ,42.7741  ,2.61403e+01
6294  ,8.1089  ,19.8572  ,25.0899  ,2.61403e+01
7109  ,18.6089  ,19.8572  ,28.4057  ,2.61402e+01
7073  ,18.6089  ,19.8572  ,39.4584  ,2.61402e+01
6028  ,5.68212  ,20.8097  ,31.1232  ,2.61401e+01
6040  ,3.9089  ,19.8572  ,28.4057  ,2.61400e+01
6161  ,7.06856  ,21.0177  ,30.2116  ,2.61400e+01
6003  ,3.9089  ,19.8572  ,39.4584  ,2.61400e+01
7241  ,16.5089  ,19.8572  ,26.1952  ,2.61399e+01
7201  ,16.5355  ,20.8618  ,36.8836  ,2.61399e+01
7192  ,16.5089  ,19.8572  ,41.6689  ,2.61399e+01
6177  ,6.0089  ,19.8572  ,26.1952  ,2.61398e+01
6124  ,6.0089  ,19.8572  ,41.6689  ,2.61397e+01
6016  ,4.98696  ,20.7919  ,33.95  ,2.61395e+01
6024  ,4.98696  ,20.7919  ,32.8448  ,2.61395e+01
6170  ,6.33912  ,20.6693  ,29.1667  ,2.61389e+01
1976  ,10.8146  ,21.6478  ,34.253  ,2.61384e+01
6014  ,4.6089  ,20.6718  ,35.4288  ,2.61384e+01
7194  ,15.0904  ,20.8456  ,39.0925  ,2.61381e+01
3260  ,10.2983  ,21.5132  ,36.2991  ,2.61378e+01
7202  ,16.0621  ,20.7245  ,38.575  ,2.61377e+01
7228  ,15.1532  ,20.9212  ,29.1473  ,2.61374e+01
6129  ,8.04094  ,20.6347  ,40.3197  ,2.61369e+01
6006  ,5.6589  ,20.8572  ,36.8794  ,2.61367e+01
6030  ,5.28912  ,20.6693  ,30.272  ,2.61365e+01
7229  ,16.2784  ,20.655  ,28.9333  ,2.61363e+01
6128  ,6.76582  ,20.5528  ,39.9506  ,2.61360e+01
3256  ,11.7839  ,21.6652  ,35.3136  ,2.61359e+01
6167  ,7.95256  ,20.7925  ,27.978  ,2.61348e+01
6023  ,4.2457  ,20.659  ,33.5555  ,2.61347e+01
6015  ,4.2457  ,20.659  ,34.6608  ,2.61347e+01
6032  ,4.98696  ,20.7919  ,31.7395  ,2.61342e+01
7231  ,15.9695  ,20.5508  ,27.9339  ,2.61340e+01
7097  ,17.3284  ,20.655  ,30.0386  ,2.61339e+01
1977  ,9.39063  ,21.6576  ,33.13  ,2.61337e+01
2437  ,10.8324  ,21.7094  ,33.1182  ,2.61335e+01
667  ,11.2589  ,19.8572  ,23.9847  ,2.61332e+01
